table	columns
order_status_history	id:uuid, catalog_id:uuid, order_id:uuid, from_status:USER-DEFINED, to_status:USER-DEFINED, reason:text, actor_id:uuid, created_at:timestamp with time zone
orders	id:uuid, catalog_id:uuid, status:USER-DEFINED, customer_name:text, customer_phone:text, comment:text, table_label:text, subtotal:integer, discount:integer, delivery_fee:integer, total:integer, admin_comment:text, created_at:timestamp with time zone, updated_at:timestamp with time zone, fulfillment_type:text, cabin_label:text, delivery_address:text, delivery_coordinates:jsonb, client_address_comment:text, accepted_at:timestamp with time zone, ready_at:timestamp with time zone, completed_at:timestamp with time zone, cancellation_reason:text, qr_token:text, qr_expires_at:timestamp with time zone, verification_code:text, delivery_city:text, delivery_settlement:text, restaurant_id:uuid, client_id:uuid, city_id:uuid, order_type:text, payment_status:text, delivery_provider:text, client_name:text, client_phone:text, address_id:uuid, delivery_lat:numeric, delivery_lng:numeric, delivery_comment:text, booth_name:text, subtotal_amount:numeric, total_amount:numeric, restaurant_payment_confirmed_at:timestamp with time zone, client_accuracy_m:numeric, delivery_address_id:uuid, delivery_address_snapshot:text, delivery_entrance_snapshot:text, delivery_floor_snapshot:text, delivery_apartment_snapshot:text, delivery_intercom_snapshot:text, delivery_landmark_snapshot:text, delivery_comment_snapshot:text, client_lat:numeric, client_lng:numeric, restaurant_lat_snapshot:numeric, restaurant_lng_snapshot:numeric, restaurant_address_snapshot:text, idempotency_key:text
platform_admins	user_id:uuid, created_at:timestamp with time zone
platform_banners	id:uuid, title:text, subtitle:text, kind:text, image_url:text, link_url:text, sort_order:integer, is_active:boolean, created_at:timestamp with time zone, updated_at:timestamp with time zone, background_color:text, action_label:text, name:text, page_id:uuid, starts_at:timestamp with time zone, ends_at:timestamp with time zone, content_position:text, button_position:text
platform_billing_settings	id:text, client_fee:numeric, restaurant_commission_percent:numeric, driver_tariff_percent:numeric, restaurant_debt_limit:numeric, driver_debt_limit:numeric, warning_percent:numeric, updated_at:timestamp with time zone, restaurant_tariff_type:text, restaurant_tariff_fixed:numeric, driver_tariff_type:text, driver_tariff_fixed:numeric
platform_categories	id:uuid, name:text, slug:text, image_url:text, is_active:boolean, created_at:timestamp with time zone
platform_content_pages	id:uuid, name:text, slug:text, status:text, blocks:jsonb, created_at:timestamp with time zone, updated_at:timestamp with time zone
platform_contest_tickets	id:uuid, contest_id:uuid, order_id:uuid, customer_name:text, customer_phone:text, ordered_items:jsonb, is_deleted:boolean, created_at:timestamp with time zone
platform_custom_tariffs	id:uuid, subject_type:text, subject_id:uuid, tariff_percent:numeric, is_active:boolean, created_at:timestamp with time zone, updated_at:timestamp with time zone, tariff_type:text, tariff_fixed:numeric
platform_debts	id:uuid, subject_type:text, subject_id:uuid, amount:numeric, limit_amount:numeric, is_blocked:boolean, updated_at:timestamp with time zone
platform_settings	id:text, support_whatsapp:text, updated_at:timestamp with time zone, support_phone:text, support_email:text, support_telegram:text, support_hours:text, support_hint:text
product	id:text, title:text, price:integer, description:text, image_url:text, ingredients:text, weight:text, spicy_level:integer, serving:text, is_popular:boolean, is_new:boolean, is_hit:boolean, is_hidden:boolean, daily_stock:integer, current_stock:integer, is_unlimited:boolean, stock_count:integer, category_id:text, category_ids:ARRAY, drink_type:text, pair_ids:ARRAY, sort_order:integer, created_at:timestamp with time zone, updated_at:timestamp with time zone, image_urls:ARRAY
product_images	id:uuid, catalog_id:uuid, product_id:uuid, url:text, alt:text, sort_order:integer
product_option_groups	id:uuid, catalog_id:uuid, product_id:uuid, name:text, required:boolean, min_selected:integer, max_selected:integer, sort_order:integer
product_options	id:uuid, catalog_id:uuid, group_id:uuid, name:text, price_delta:integer, is_default:boolean, sort_order:integer
product_tag	product_id:text, tag_id:text
product_tags	catalog_id:uuid, product_id:uuid, tag_id:uuid
